Weather_Database,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
173,Z,6.0667,-8.1281,69.66,98,99,4.21,LR,overcast clouds
174,D,25.0209,118.2898,92.43,60,79,2.21,CN,broken clouds
175,O,-17.8833,15.0667,58.08,35,2,4.21,NA,clear sky
176,I,27.2025,60.6848,82.74,65,0,6.91,IR,clear sky
177,S,-9.8607,124.284,75.47,49,31,11.34,ID,scattered clouds
178,S,-21.15,55.2833,68.83,74,12,4.41,RE,few clouds
179,J,-24.6925,-48.0022,59.4,99,55,1.63,BR,broken clouds
180,B,-31.95,141.4333,59.4,34,0,6.08,AU,clear sky
181,C,18.6333,-98.6333,61.14,94,100,1.34,MX,moderate rain
182,S,39.0062,-77.4286,80.22,88,40,5.99,US,scattered clouds
183,V,50.1167,139.15,76.87,54,100,5.84,RU,overcast clouds
184,A,-22.9661,-42.0278,67.96,83,0,10.36,BR,clear sky
185,P,50.6996,-127.4199,73.58,64,20,6.91,CA,few clouds
186,K,10.5669,72.642,78.17,89,100,16.75,IN,light rain
187,I,6.7085,121.9711,82.45,61,100,3.58,PH,light rain
188,W,18.8003,110.3967,88.99,60,49,3.2,CN,scattered clouds
189,G,43.7501,-81.7165,73.72,83,0,8.05,CA,clear sky
190,B,-20.3428,57.7575,68.25,88,40,5.75,MU,light rain
191,S,28.017,-97.5169,85.89,70,4,12.73,US,clear sky
192,C,-30.1811,-50.2056,60.82,88,100,5.84,BR,overcast clouds
193,T,55.1667,124.7167,74.44,81,100,5.95,RU,moderate rain
194,A,30.5092,117.0506,97.29,48,99,4.47,CN,overcast clouds
195,O,-8.0089,-34.8553,71.33,94,100,5.75,BR,overcast clouds
196,T,58.6626,6.7169,48.85,86,73,8.66,NO,broken clouds
197,C,68.75,161.3,55.17,47,100,6.33,RU,overcast clouds
198,L,38.0373,-84.8966,76.66,95,47,6.49,US,scattered clouds
199,H,6.1241,81.1185,75.54,100,20,3.44,LK,few clouds
200,J,36.8648,70.8342,81.73,29,1,0.85,AF,clear sky
201,L,40.1629,-8.3327,54.99,92,0,1.95,PT,clear sky
202,L,28.6585,-17.9182,70.12,93,20,18.41,ES,few clouds
203,N,20.931,-17.0347,75.18,78,5,21.85,MR,clear sky
204,T,-3.3542,-64.7114,75.76,79,69,1.54,BR,broken clouds
205,K,31.4167,130.3167,87.3,66,42,12.01,JP,scattered clouds
206,E,13.9297,41.6925,90.36,65,82,2.59,ER,broken clouds
207,P,66.1451,-65.7125,53.87,69,100,1.5,CA,overcast clouds
208,N,-38.5473,-58.7368,49.46,96,100,16.4,AR,overcast clouds
209,B,54.0831,-0.1919,59.14,74,100,11.59,GB,overcast clouds
210,I,-16.3578,-49.4961,67.73,49,9,4.14,BR,clear sky
211,W,29.1614,16.139,77.49,42,0,4.38,LY,clear sky
212,P,-34.7333,135.8667,59.47,64,10,7.4,AU,clear sky
213,K,-46.2817,169.8464,44.92,94,100,7.63,NZ,overcast clouds
214,M,5.7667,73.3833,82.0,75,97,15.03,MV,light rain
215,R,32.296,-81.2354,84.85,81,40,11.5,US,scattered clouds
216,W,5.5167,5.75,74.05,93,100,5.12,NG,light rain
217,G,28.8184,115.4327,99.12,39,93,2.82,CN,overcast clouds
218,H,63.7533,-20.2243,48.92,85,100,11.9,IS,overcast clouds
219,A,-13.2,49.05,62.82,91,6,3.4,MG,clear sky
220,P,-41.1333,174.85,56.62,87,93,21.77,NZ,overcast clouds
221,W,7.7029,27.9953,69.6,94,100,2.75,SS,overcast clouds
222,S,45.0205,-93.218,73.0,52,40,4.61,US,scattered clouds
223,J,26.2867,73.03,80.19,82,100,13.6,IN,overcast clouds
224,B,68.0546,166.4372,53.47,45,100,2.98,RU,overcast clouds
225,T,69.4865,88.3972,56.21,63,93,11.88,RU,overcast clouds
226,T,-5.1989,-35.4608,73.0,86,17,11.52,BR,few clouds
227,A,-19.0595,-169.9187,76.89,83,75,16.11,NU,smoke
228,Y,-25.2406,130.9889,61.29,19,10,14.32,AU,clear sky
229,L,38.421,-121.4238,93.4,39,0,10.36,US,clear sky
230,G,0.5412,123.0595,83.79,78,54,6.71,ID,broken clouds
231,A,16.8634,-99.8901,78.19,86,100,4.12,MX,overcast clouds
232,S,-13.8833,167.55,79.88,78,100,10.49,VU,overcast clouds
233,B,1.2391,23.616,71.04,95,99,3.36,CD,overcast clouds
234,N,59.7035,30.7861,57.79,88,0,3.67,RU,clear sky
235,N,65.282,-126.8329,64.44,48,75,2.3,CA,broken clouds
236,S,-21.3393,55.4781,68.92,69,0,6.91,RE,clear sky
237,N,64.5011,-165.4064,57.11,82,75,12.66,US,broken clouds
238,M,-8.4667,140.3333,81.66,75,95,18.7,ID,overcast clouds
239,M,-2.0428,-45.9592,71.46,95,57,2.53,BR,broken clouds
240,K,-3.945,122.4989,84.52,61,39,4.21,ID,scattered clouds
241,P,1.1667,108.9667,84.25,67,59,4.59,ID,broken clouds
